Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_037918385.1	ASM3791838v1	Clostridioides difficile		Z1322PCD0060					GCF_037918385.1-RS_2025_04_05	Complete Genome	2024-04-05		5
GCF_034270385.1	ASM3427038v1	Clostridioides difficile		MA_1					GCF_034270385.1-RS_2025_02_28	Complete Genome	2023-12-11		2
GCF_037932795.1	ASM3793279v1	Clostridioides difficile		Z1322HCD0043					GCF_037932795.1-RS_2025_04_09	Complete Genome	2024-04-06		2
GCF_049673565.1	ASM4967356v1	Clostridioides difficile		741					GCF_049673565.1-RS_2025_04_17	Complete Genome	2025-04-20		1
GCF_016767015.1	ASM1676701v1	Clostridioides difficile		CD9301					GCF_016767015.1-RS_2025_03_03	Complete Genome	2021-01-28		1
GCF_016767035.1	ASM1676703v1	Clostridioides difficile		CD9001					GCF_016767035.1-RS_2025_03_03	Complete Genome	2021-01-28		1
GCF_037924525.1	ASM3792452v1	Clostridioides difficile		Z1322HCD0115					GCF_037924525.1-RS_2025_04_17	Complete Genome	2024-04-05		1
GCF_037919795.1	ASM3791979v1	Clostridioides difficile		Z1322PCD0036					GCF_037919795.1-RS_2025_04_05	Complete Genome	2024-04-05		4
GCF_037931105.1	ASM3793110v1	Clostridioides difficile		Z1322HCD0072					GCF_037931105.1-RS_2025_04_05	Complete Genome	2024-04-06		5
GCF_018884725.1	ASM1888472v1	Clostridioides difficile		Cd17					GCF_018884725.1-RS_2025_03_07	Complete Genome	2021-06-15		1
GCF_037918115.1	ASM3791811v1	Clostridioides difficile		Z1322PCD0061					GCF_037918115.1-RS_2025_04_05	Complete Genome	2024-04-05		3
GCF_037919185.1	ASM3791918v1	Clostridioides difficile		Z1322PCD0040					GCF_037919185.1-RS_2025_04_05	Complete Genome	2024-04-05		2
GCF_049532775.1	DSM29650_HGAP3_1SC	Clostridioides difficile		DSM 29650					GCF_049532775.1-RS_2025_04_13	Complete Genome	2025-04-15		1
GCF_037926405.1	ASM3792640v1	Clostridioides difficile		Z1322HCD0102					GCF_037926405.1-RS_2025_04_05	Complete Genome	2024-04-06		5
GCF_000009205.2	ASM920v2	Clostridioides difficile 630		630					GCF_000009205.2-RS_2025_02_28	Complete Genome	2017-09-29		2
GCF_000932055.2	ASM93205v2	Clostridioides difficile 630		630					GCF_000932055.2-RS_2025_02_28	Complete Genome	2017-01-11		1
GCF_015732555.1	ASM1573255v1	Clostridioides difficile R20291		R20291					GCF_015732555.1-RS_2025_02_28	Complete Genome	2020-12-03		1
GCF_027625435.1	ASM2762543v1	Clostridioides difficile R20291		R20291					GCF_027625435.1-RS_2025_02_28	Complete Genome	2023-01-10		1
GCF_021378415.1	ASM2137841v1	Clostridioides difficile CD196		CD196					GCF_021378415.1-RS_2025_02_28	Complete Genome	2022-01-06		1
GCF_000085225.1	ASM8522v1	Clostridioides difficile CD196		CD196					GCF_000085225.1-RS_2025_02_28	Complete Genome	2009-10-01		1
GCF_000210455.1	ASM21045v1	Clostridioides difficile 2007855		2007855					GCF_000210455.1-RS_2025_02_28	Complete Genome	2010-03-24		1
GCF_000210415.1	ASM21041v1	Clostridioides difficile CF5		CF5					GCF_000210415.1-RS_2025_03_07	Complete Genome	2010-03-24		1
GCF_000211235.1	ASM21123v1	Clostridioides difficile BI1		BI1					GCF_000211235.1-RS_2025_03_03	Complete Genome	2010-03-24		3
GCF_000210435.1	ASM21043v1	Clostridioides difficile M120		M120					GCF_000210435.1-RS_2025_03_07	Complete Genome	2010-03-24		1
